idx,symbol,industry_id
0,DDD,238
1,MMM,253
2,AOS,88
3,ATEN,39
4,AIR,10
5,ABM,240
6,ACCO,20
7,ACM,221
8,AES,33
9,AGCO,64
10,ALE,50
11,AME,93
12,AMN,225
13,ASGN,225
14,T,255
15,ATI,248
16,AXS,68
17,AZZ,32
18,ABBV,157
19,ABT,157
20,ANF,187
21,AKR,173
22,AAMI,98
23,ACN,210
24,AYI,51
25,ADNT,132
26,ATGE,219
27,ASIX,161
28,AAP,178
29,WMS,162
30,AER,222
31,AMG,98
32,AFL,1
33,A,100
34,ADC,173
35,AL,222
36,APD,92
37,ALG,64
38,ALK,7
39,AIN,23
40,ALB,161
41,AA,165
42,ALEX,173
43,ALX,173
44,ARE,173
45,BABA,210
46,ALLE,218
47,ALSN,132
48,ALL,68
49,ALLY,247
50,MO,31
51,AMBC,252
52,AMCR,125
53,AEE,50
54,AAT,173
55,AXL,132
56,AEO,187
57,AXP,67
58,AFG,68
59,AMH,173
60,AIG,68
61,AWR,266
62,AMT,173
63,AVD,3
64,AWK,266
65,COLD,173
66,AMP,98
67,ABCB,247
68,APH,59
69,AMPY,45
70,AU,78
71,NLY,173
72,AM,139
73,AR,45
74,HOUS,172
75,AON,96
76,AIV,173
77,ARI,173
78,APO,98
79,APLE,173
80,AIT,282
81,ATR,163
82,APTV,132
83,ARMK,185
84,ADM,65
85,AROC,139
86,ARCO,185
87,ASC,47
88,ACRE,173
89,AGX,41
90,ARGO,258
91,ANET,39
92,AHH,171
93,AWI,163
94,ARW,274
95,AJG,96
96,APAM,98
97,AORT,253
98,ABG,179
99,AHT,173
100,ASH,269
101,ASPN,280
102,ASB,247
103,AC,204
104,AIZ,97
105,AGO,252
106,ATKR,122
107,AUB,247
108,ATO,137
109,AN,179
110,ALV,132
111,AZO,178
112,AVB,173
113,AVNS,148
114,AVY,44
115,AVNT,161
116,AVA,50
117,AXTA,149
118,AX,200
119,BGS,69
120,BJ,197
121,BWXT,60
122,BXP,173
123,BW,83
124,BMI,259
125,BALL,112
126,BANC,136
127,BAC,136
128,BOH,247
129,NTB,34
130,BK,247
131,BKU,200
132,BBWI,195
133,BAX,253
134,BZH,146
135,BDX,253
136,BDC,48
137,BHE,166
138,BRKA,68
139,BHLB,201
140,BERY,163
141,BBY,194
142,BIO,100
143,BKH,52
144,BLK,204
145,BXMT,173
146,XYZ,238
147,BXC,281
148,BA,9
149,BCC,280
150,BOOT,196
151,BAH,226
152,BWA,132
153,SAM,107
154,BSX,253
155,BOX,238
156,BYD,86
157,BRC,125
158,BDN,173
159,BFH,155
160,BFAM,211
161,BRSP,173
162,BV,5
163,EAT,185
164,BCO,14
165,BMY,157
166,BRX,173
167,BR,210
168,BKD,236
169,BN,145
170,BIP,267
171,BRO,96
172,BFB,17
173,BC,60
174,BKE,187
175,BLDR,192
176,BG,65
177,BURL,183
178,CACI,213
179,CBZ,210
180,CBL,173
181,CBRE,171
182,CF,3
183,CMS,50
184,CNA,68
185,CNH,42
186,CNO,1
187,CNX,45
188,CDP,173
189,CRH,29
190,CTO,173
191,CTS,166
192,CVI,156
193,CVS,184
194,CABO,24
195,CBT,121
196,CADE,264
197,CAL,70
198,CWT,266
199,CALX,37
200,CPT,173
201,CCJ,126
202,CWH,179
203,CNNE,186
204,COF,136
205,CPRI,103
206,CAH,271
207,CTRE,173
208,CSL,62
209,KMX,179
210,CCL,267
211,CRS,250
212,CARS,214
213,CRI,13
214,CAT,42
215,CE,160
216,COR,271
217,CNC,85
218,CNP,52
219,CSR,173
220,CPF,247
221,CCS,146
222,SKY,129
223,CRL,212
224,SCHW,204
225,GTLS,61
226,CLDT,173
227,CHGG,219
228,CC,30
229,LNG,137
230,CPK,138
231,CVX,156
232,CIM,173
233,CMG,185
234,CHH,86
235,CB,68
236,CHD,243
237,CIEN,254
238,CI,85
239,CNK,235
240,C,136
241,CFG,247
242,CIA,104
243,CIO,173
244,CIVI,45
245,CLH,81
246,CCO,206
247,CLW,152
248,CWENA,52
249,CLF,115
250,CLPR,173
251,CLX,245
252,KO,17
253,CDE,78
254,CNS,98
255,COHR,147
256,CL,154
257,CBAN,247
258,CMA,136
259,FIX,54
260,CMC,250
261,CBU,136
262,CYH,224
263,CHCT,173
264,CMP,119
265,CRK,45
266,CAG,69
267,CNMD,55
268,COP,156
269,ED,50
270,STZ,17
271,CPS,132
272,CPA,7
273,CLB,144
274,CNR,242
275,CXW,173
276,GLW,48
277,CPAY,210
278,CMRE,47
279,CTRA,45
280,COTY,154
281,CUZ,173
282,CXT,123
283,CRDB,96
284,BAP,34
285,CCI,173
286,CCK,112
287,CUBE,173
288,CFR,136
289,CULP,22
290,CMI,60
291,CW,120
292,CWK,171
293,CUBI,247
294,DHT,47
295,DKS,193
296,DNOW,143
297,DHI,146
298,DTE,52
299,DXC,214
300,DVA,230
301,DAN,132
302,DHR,93
303,DRI,185
304,DAR,65
305,DAY,238
306,DECK,199
307,DE,64
308,DK,156
309,DELL,58
310,DAL,7
311,DLX,20
312,DBI,196
313,DVN,45
314,DRH,173
315,DBD,25
316,DLR,173
317,DBRG,98
318,DDS,183
319,DIN,185
320,DFS,155
321,DLB,153
322,DG,197
323,D,52
324,DCI,91
325,DFIN,232
326,LPG,47
327,PLOW,42
328,DEI,173
329,DOV,43
330,DCO,12
331,DUK,50
332,DD,161
333,DY,268
334,CTA,160
335,EME,54
336,EOG,45
337,EPR,173
338,EQT,45
339,ESE,36
340,EXP,29
341,DEA,173
342,EGP,173
343,EMN,161
344,KODK,158
345,ETN,120
346,ECL,243
347,EPC,154
348,EIX,52
349,EW,148
350,ESI,121
351,ELV,85
352,LLY,157
353,ELME,173
354,EBS,157
355,EMR,56
356,ESRT,173
357,EIG,68
358,ENS,122
359,ENR,122
360,EPAC,120
361,ENVA,155
362,ENOV,148
363,NPO,72
364,ETR,52
365,EPD,139
366,NVRI,239
367,EPAM,215
368,EFX,217
369,EQBK,247
370,EQC,173
371,ELS,173
372,EQR,173
373,ESNT,252
374,WTRG,266
375,ESS,173
376,EL,154
377,ETD,289
378,EVR,98
379,EG,68
380,EVRI,231
381,ES,52
382,EVTC,214
383,EVH,227
384,EXPD,14
385,XPRO,144
386,EXR,173
387,XOM,156
388,FBK,247
389,FMC,30
390,FNB,136
391,FCN,226
392,FN,254
393,FDS,216
394,FICO,210
395,FDX,6
396,AGM,66
397,FRT,173
398,FSS,133
399,FHI,98
400,FERG,278
401,FNF,258
402,FIS,210
403,FAF,258
404,FBMS,136
405,FCF,136
406,FFWM,247
407,FHN,136
408,FR,173
409,FE,52
410,FI,210
411,FLG,201
412,FND,192
413,FTK,121
414,FLO,69
415,FLS,167
416,FLR,84
417,FLUT,216
418,FL,196
419,F,133
420,BLX,34
421,FTV,93
422,FBIN,118
423,FET,143
424,FCPT,173
425,BEN,98
426,FCX,115
427,FDP,4
428,FRO,47
429,FF,94
430,GATX,260
431,GMS,280
432,GME,182
433,GCI,140
434,GAP,187
435,GRMN,202
436,IT,227
437,GTES,75
438,GNK,47
439,GNRC,135
